availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
北海道 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_01_GML.zip,A19s-10_01_GML.zip,A19s_22_01_01.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
北海道 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_01_GML.zip,A19s-10_01_GML.zip,A19s_22_02_01.shp,,,,,,,,,CP932,,4612,,都市基盤1,
北海道 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_01_GML.zip,A19s-10_01_GML.zip,A19s_22_03_01.shp,,,,,,,,,CP932,,4612,,都市基盤2,
北海道 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_01_GML.zip,A19s-10_01_GML.zip,A19s_22_04_01.shp,,,,,,,,,CP932,,4612,,産業,
北海道 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_01_GML.zip,A19s-05_01_GML.zip,A19s_17_01_01.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
北海道 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_01_GML.zip,A19s-05_01_GML.zip,A19s_17_02_01.shp,,,,,,,,,CP932,,4612,,都市基盤1,
北海道 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_01_GML.zip,A19s-05_01_GML.zip,A19s_17_03_01.shp,,,,,,,,,CP932,,4612,,都市基盤2,
北海道 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_01_GML.zip,A19s-05_01_GML.zip,A19s_17_04_01.shp,,,,,,,,,CP932,,4612,,産業,
北海道 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_01_GML.zip,A19s-00_01_GML.zip,A19s_12_01_01.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
北海道 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_01_GML.zip,A19s-00_01_GML.zip,A19s_12_02_01.shp,,,,,,,,,CP932,,4612,,都市基盤1,
北海道 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_01_GML.zip,A19s-00_01_GML.zip,A19s_12_03_01.shp,,,,,,,,,CP932,,4612,,都市基盤2,
北海道 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_01_GML.zip,A19s-00_01_GML.zip,A19s_12_04_01.shp,,,,,,,,,CP932,,4612,,産業,
北海道 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_01_GML.zip,A19s-95_01_GML.zip,A19s_07_01_01.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
北海道 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_01_GML.zip,A19s-95_01_GML.zip,A19s_07_02_01.shp,,,,,,,,,CP932,,4612,,都市基盤1,
北海道 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_01_GML.zip,A19s-95_01_GML.zip,A19s_07_03_01.shp,,,,,,,,,CP932,,4612,,都市基盤2,
北海道 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_01_GML.zip,A19s-95_01_GML.zip,A19s_07_04_01.shp,,,,,,,,,CP932,,4612,,産業,
宮城県,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_04_GML.zip,A19s-10_04_GML.zip,A19s_22_01_04.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
宮城県,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_04_GML.zip,A19s-10_04_GML.zip,A19s_22_02_04.shp,,,,,,,,,CP932,,4612,,都市基盤1,
宮城県,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_04_GML.zip,A19s-10_04_GML.zip,A19s_22_03_04.shp,,,,,,,,,CP932,,4612,,都市基盤2,
宮城県,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_04_GML.zip,A19s-10_04_GML.zip,A19s_22_04_04.shp,,,,,,,,,CP932,,4612,,産業,
宮城県,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_04_GML.zip,A19s-05_04_GML.zip,A19s_17_01_04.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
宮城県,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_04_GML.zip,A19s-05_04_GML.zip,A19s_17_02_04.shp,,,,,,,,,CP932,,4612,,都市基盤1,
宮城県,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_04_GML.zip,A19s-05_04_GML.zip,A19s_17_03_04.shp,,,,,,,,,CP932,,4612,,都市基盤2,
宮城県,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_04_GML.zip,A19s-05_04_GML.zip,A19s_17_04_04.shp,,,,,,,,,CP932,,4612,,産業,
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_01_04.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_02_04.shp,,,,,,,,,CP932,,4612,,都市基盤1,
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_03_04.shp,,,,,,,,,CP932,,4612,,都市基盤2,
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_04_04.shp,,,,,,,,,CP932,,4612,,産業,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_01_04.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_02_04.shp,,,,,,,,,CP932,,4612,,都市基盤1,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_03_04.shp,,,,,,,,,CP932,,4612,,都市基盤2,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_04_04.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_04_06.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_04_06.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_04_06.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_04_06.shp,,,,,,,,,CP932,,4612,,産業,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_01_13.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_02_13.shp,,,,,,,,,CP932,,4612,,都市基盤1,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_03_13.shp,,,,,,,,,CP932,,4612,,都市基盤2,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_04_13.shp,,,,,,,,,CP932,,4612,,産業,
