availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
鹿児島,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-10/A20s-10_46_GML.zip,A20s-10_46_GML.zip,A20s_22_01_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,A20_002,code_pref_muni,CP932,,4612,,人口・世帯数,
鹿児島,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-10/A20s-10_46_GML.zip,A20s-10_46_GML.zip,A20s_22_02_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,A20_002,code_pref_muni,CP932,,4612,,都市基盤1,
鹿児島,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-10/A20s-10_46_GML.zip,A20s-10_46_GML.zip,A20s_22_03_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,A20_002,code_pref_muni,CP932,,4612,,都市基盤2,
鹿児島,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-10/A20s-10_46_GML.zip,A20s-10_46_GML.zip,A20s_22_04_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,A20_002,code_pref_muni,CP932,,4612,,産業,
鹿児島,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-05/A20s-05_46_GML.zip,A20s-05_46_GML.zip,A20s_17_01_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,人口・世帯数,
鹿児島,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-05/A20s-05_46_GML.zip,A20s-05_46_GML.zip,A20s_17_02_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,都市基盤1,
鹿児島,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-05/A20s-05_46_GML.zip,A20s-05_46_GML.zip,A20s_17_03_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,都市基盤2,
鹿児島,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-05/A20s-05_46_GML.zip,A20s-05_46_GML.zip,A20s_17_04_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,産業,
鹿児島,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-00/A20s-00_46_GML.zip,A20s-00_46_GML.zip,A20s_12_01_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,人口・世帯数,
鹿児島,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-00/A20s-00_46_GML.zip,A20s-00_46_GML.zip,A20s_12_02_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,都市基盤1,
鹿児島,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-00/A20s-00_46_GML.zip,A20s-00_46_GML.zip,A20s_12_03_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,都市基盤2,
鹿児島,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-00/A20s-00_46_GML.zip,A20s-00_46_GML.zip,A20s_12_04_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,産業,
鹿児島,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-95/A20s-95_46_GML.zip,A20s-95_46_GML.zip,A20s_07_01_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,人口・世帯数,
鹿児島,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-95/A20s-95_46_GML.zip,A20s-95_46_GML.zip,A20s_07_02_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,都市基盤1,
鹿児島,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-95/A20s-95_46_GML.zip,A20s-95_46_GML.zip,A20s_07_03_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,都市基盤2,
鹿児島,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-95/A20s-95_46_GML.zip,A20s-95_46_GML.zip,A20s_07_04_46.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A20s.html,,,,,,,CP932,,4612,,産業,
