availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
東京,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-07/A21-070402_13_GML.zip,A21-070402_13_GML.zip,A21-070402_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,A21_002,code_pref_muni,CP932,A21-2007.qml,4612,
東京,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-05/A21-051001_13_GML.zip,A21-051001_13_GML.zip,A21-051001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-00/A21-001001_13_GML.zip,A21-001001_13_GML.zip,A21-001001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-95/A21-951001_13_GML.zip,A21-951001_13_GML.zip,A21-951001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-90/A21-901001_13_GML.zip  ,A21-901001_13_GML.zip  ,A21-901001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-85/A21-851001_13_GML.zip  ,A21-851001_13_GML.zip,A21-851001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-80/A21-801001_13_GML.zip  ,A21-801001_13_GML.zip,A21-801001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-75/A21-751001_13_GML.zip,A21-751001_13_GML.zip,A21-751001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-70/A21-701001_13_GML.zip,A21-701001_13_GML.zip,A21-701001_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
東京,1969,https://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-69/A21-691208_13_GML.zip  ,A21-691208_13_GML.zip,A21-691208_13_OgasawaraIslands.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A21.html,,,,,,,CP932,,4612,
