availability,year,url,zip,shp,geojson,altdir,source,encoding,qml,epsg,filesize,detail1,detail2
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01100.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,札幌市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01202.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,函館市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01203.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,小樽市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01204.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,旭川市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01205.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,室蘭市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01206.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,釧路市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01207.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,帯広市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01208.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,北見市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01210.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,岩見沢市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01211.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,網走市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01212.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,留萌市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01213.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,苫小牧市,
北海道,2019,https://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-19/A29-19_01_GML.zip,A29-19_01_GML.zip,A29-19_01/01-01_シェープファイル形式/A29-19_01214.shp,,A29-19_01,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A29-2019.html,CP932,A29.qml,6668,,稚内市,
