availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
北海道,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
青森,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
宮城,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
群馬,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
埼玉,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
千葉,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
東京,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
神奈川,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
富山,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
石川,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
福井,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
長野,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
愛知,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
兵庫,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
鳥取,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
島根,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
岡山,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
広島,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
山口,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
香川,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
愛媛,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2025.html,,,,,,,CP932,,6668,,,
福岡,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2024.html,,,,,,,CP932,,6668,,,
埼玉,2024,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,11201/{code_map}-{year2digit}_11201.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A51-2024.html,,,,,,,CP932,,6668,,さいたま市,
