name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
砂防指定地,青森県,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,0.95
砂防指定地,岩手,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,1.62
砂防指定地,茨城 ,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,1.6
砂防指定地,栃木,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,1.31
砂防指定地,埼玉,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,2.29
砂防指定地,千葉県,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,0.95
砂防指定地,東京,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,1.27
砂防指定地,神奈川 ,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,3.43
砂防指定地,新潟,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,20.48
砂防指定地,石川,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,1.68
