availability,code_map,type_muni,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
北海道,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,],CP932,C23.qml,6668,
岩手,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
宮城,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
秋田 ,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
山形,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
福島,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
茨城,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
栃木,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
群馬,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
埼玉,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
千葉,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
東京,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
神奈川,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
新潟,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
