availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-21/C28-21_GML.zip,C28-21_GML.zip,UTF-8/C28-21_TerminalBuilding.shp,UTF-8/C28-21_TerminalBuilding.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2021.html,,,,,,,UTF-8,C28-2021.qml,6668,
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-20/C28-20_GML.zip,C28-20_GML.zip,C28-20_GML/C28-20_TerminalBuilding.shp,C28-20_GML/C28-20_TerminalBuilding.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-19/C28-19_GML.zip,C28-19_GML.zip,C28-19_TerminalBuilding.shp,C28-19_TerminalBuilding.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-18/C28-18_GML.zip,C28-18_GML.zip,C28-18_TerminalBuilding.shp,C28-18_TerminalBuilding.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-17/C28-17_GML.zip,C28-17_GML.zip,C28-17_GML/C28-17_TerminalBuilding.shp,C28-17_GML/C28-17_TerminalBuilding.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-16/C28-16_GML.zip,C28-16_GML.zip,C28-16_TerminalBuilding.shp,C28-16_TerminalBuilding.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-15/C28-15_GML.zip,C28-15_GML.zip,C28-15_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-14/C28-14_GML.zip,C28-14_GML.zip,C28-14_GML/C28-14_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2020.html,,,,,,,CP932,C28-2021.qml,6668,
全国,2013,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-13/C28-13.zip,C28-13.zip,C28-13/C28-13_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2013.html,,,,,,,CP932,C28-2021.qml,4612,
全国,2012,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-12/C28-12_GML.zip,C28-12_GML.zip,C28-12_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2012.html,,,,,,,CP932,C28-2021.qml,4612,
全国,2011,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-11/C28-11_GML.zip,C28-11_GML.zip,C28-11_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2012.html,,,,,,,CP932,C28-2021.qml,4612,
全国,2007,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-07/C28-07_GML.zip,C28-07_GML.zip,C28-07-g_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2012.html,,,,,,,CP932,C28-2021.qml,4612,
全国,2004,https://nlftp.mlit.go.jp/ksj/gml/data/C28/C28-04/C28-04_GML.zip,C28-04_GML.zip,C28-04_GML/C28-04-g_TerminalBuilding.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C28-2004.html,,,,,,,CP932,C28-2021.qml,4612,
