name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml
1. 国土（水・土地）,,,,,,,,,,,,,,,,,,,
水域,,,,,,,,,,,,,,,,,,,
海岸線,yes,C23,,,2006,https://nlftp.mlit.go.jp/ksj/gml/data/C23/C23-06/C23-06_code_pref_GML.zip,C23-06_code_pref_GML.zip,C23-06_code_pref-g_Coastline.shp,,C23-06_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,C23_001,code_pref_muni,CP932,C23.qml
海岸保全施設（ライン）,yes,P23,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P23/P23-12/P23-12_13_GML.zip,P23-12_code_pref_GML.zip,P23b-12_code_pref.shp,,P23-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P23.html,,,,,,,CP932,P23b.qml
海岸保全施設（ポイント） ,yes,P23,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P23/P23-12/P23-12_13_GML.zip,P23-12_code_pref_GML.zip,P23a-12_code_pref.shp,,P23-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P23.html,,,,,,,CP932,P23a.qml
湖沼,yes,W09,single,,2005,https://nlftp.mlit.go.jp/ksj/gml/data/W09/W09-05/W09-05_GML.zip,W09-05_GML.zip,W09-05-g_Lake.shp,,W09-05_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W09-2005.html,,,,,,,CP932,W09.qml
流域メッシュ ,,W07,mesh,,,,,,,,,,,,,,,,
ダム,yes,W01,single,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/W01/W01-14/W01-14_GML.zip,W01-14_GML.zip,W01-14-g_Dam.shp,,W01-14_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W01.html,,,,,,,CP932,W01.qml
河川（ライン）,maybe (都道府県によって年が違う),W05,,,,https://nlftp.mlit.go.jp/ksj/gml/data/W05/W05-08/W05-08_code_pref_GML.zip,W05-08_code_pref_GML.zip,W05-08_code_pref-g_Stream.shp,,W05-08_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W05.html,,,,,,,CP932,
河川（ポイント）,maybe (都道府県によって年が違う),W05,,,,https://nlftp.mlit.go.jp/ksj/gml/data/W05/W05-08/W05-08_code_pref_GML.zip,W05-08_code_pref_GML.zip,W05-08_code_pref-g_RiverNode.shp,,W05-08_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W05.html,,,,,,,CP932,
地形,,,,,,,,,,,,,,,,,,,
標高・傾斜度3次メッシュ,,G04-a,mesh,,,,,,,,,,,,,,,,
標高・傾斜度4次メッシュ,,G04-c,mesh,,,,,,,,,,,,,,,,
標高・傾斜度5次メッシュ,,G04-d,mesh,,,,,,,,,,,,,,,,
低位地帯,,G08,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/G08/G08-15/G08-15_code_pref_GML.zip,G08-15_code_pref_GML.zip,G08-15_code_pref.shp,,G08-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-G08-2015.html,,,,,,,CP932,
土地利用,,,,,,,,,,,,,,,,,,,
土地利用3次メッシュ,,L03-a,mesh,,,,,,,,,,,,,,,,
土地利用細分メッシュ ,,L03-b,mesh,,,,,,,,,,,,,,,,
土地利用細分メッシュ（ラスタ版）,,L03-b_r,mesh,,,,,,,,,,,,,,,,
都市地域土地利用細分メッシュ,,L03-b-u,mesh,,,,,,,,,,,,,,,,
土地利用詳細メッシュ,,L03-b-c,mesh,,,,,,,,,,,,,,,,
森林地域,yes,A13,,,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-16/A23-16_code_pref_GML.zip,A23-16_code_pref_GML.zip,A23-16_code_pref.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A23-v3_0.html,,,,,A23_002,code_pref_muni,CP932,
国有林野,yes,A45,,,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A45/A45-19/A45-19_code_pref_GML.zip,A45-19_code_pref_GML.zip,A45-19_code_pref.shp,,A45-19_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A45.html,,,,,,,CP932,A45-05.qml
農業地域（農業地域）,yes,A12,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_code_pref_GML.zip,A12-15_code_pref_GML.zip,a001code_pref0020160205.shp,,A12-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A12.html,,,,,,,CP932,A12-05.qml
農業地域（農用地区域）,yes,A12,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_code_pref_GML.zip,A12-15_code_pref_GML.zip,a001code_pref0020160206.shp,,A12-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A12.html,,,,,,,CP932,A12-06.qml
都市地域（ポリゴン）,,A09,muni,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_code_pref_GML.zip,,,,,,,,,,,,,
用途地域（ポリゴン）,,A29,muni,,,,,,,,,,,,,,,,
立地適正化計画区域（ポリゴン） ,,A50,muni,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A50/A50-20/A50-20_code_pref_GML.zip,A50-20_code_pref_GML.zip,,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A50-v1_0.html,A50_006,1 2 3,立地適正化計画区域 居住誘導区域 都市機能誘導区域,#E2FFE3 #99CDFD #F87E88,,,UTF-8,
地価,,,,,,,,,,,,,,,,,,,
地価公示,yes,L01,,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-22/L01-22_code_pref_GML.zip,L01-22_code_pref_GML.zip,L01-22_code_pref.shp,L01-22_code_pref.geojson,L01-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v3_1.html,L01_006,,,,L01_022,code_pref_muni,CP932,L01.qml
都道府県地価調査,yes,L02,,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-22/L02-22_code_pref_GML.zip,L02-22_code_pref_GML.zip,L02-22_code_pref.shp,L02-22_code_pref.geojson,L02-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v3_0.html,L02_006,,,,L02_020,code_pref_muni,CP932,L02.qml
2. 政策区域 ,,,,,,,,,,,,,,,,,,,
行政地域,,,,,,,,,,,,,,,,,,,
行政区域,yes,N03,,,2024,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2024/N03-20240101_code_pref_GML.zip,N03-20240101_code_pref_GML.zip,N03-20240101_code_pref.shp,,N03-20240101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-2024.html,,,,,N03_007,code_pref_muni,CP932,
DID人口集中地区,yes,A16,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-15/A16-15_code_pref_GML.zip,A16-15_code_pref_GML.zip,A16-15_code_pref_DID.shp,,A16-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A16-2015.html,,,,,,,CP932,
中学校区,yes,A32,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A32/A32-21/A32-21_code_pref_GML.zip,A32-21_code_pref_GML.zip,A32-21_code_pref.shp,A32-21_code_pref.geojson,A32-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-v3_0.html,,,,,A32_001,code_pref_muni,CP932,
小学校区,yes,A27,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A27/A27-21/A27-21_code_pref_GML.zip,A27-21_code_pref_GML.zip,A27-21_code_pref.shp,A27-21_code_pref.geojson,A27-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-v3_0.html,,,,,A27_001,code_pref_muni,CP932,
医療圏（一次医療圏）,yes,A38,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-20/A38-20_code_pref_GML.zip,A38-20_code_pref_GML.zip,A38-20_code_pref_1.shp,,A38-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A38-2020.html,,,,,,,CP932,
医療圏（二次医療圏）,yes,A38,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-20/A38-20_code_pref_GML.zip,A38-20_code_pref_GML.zip,A38-20_code_pref_2.shp,,A38-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A38-2020.html,,,,,,,CP932,
医療圏（三次医療圏）,yes,A38,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-20/A38-20_code_pref_GML.zip,A38-20_code_pref_GML.zip,A38-20_code_pref_3.shp,,A38-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A38-2020.html,,,,,,,CP932,
景観計画区域（面）,yes,A35a,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_code_pref_GML.zip,A35a-14_code_pref_GML.zip,A35a-14_code_pref.shp,,A35a-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,,,,,,,CP932,
景観計画区域（点）,yes,A35a,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_code_pref_GML.zip,A35a-14_code_pref_GML.zip,A35b-14_code_pref.shp,,A35a-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,,,,,,,CP932,
景観計画区域（景観重点地区）,yes,A35a,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_code_pref_GML.zip,A35a-14_code_pref_GML.zip,A35c-14_code_pref.shp,,A35a-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,,,,,,,CP932,
景観地区・準景観地区（面）,yes,A35b,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_code_pref_GML.zip,A35b-14_code_pref_GML.zip,A35d-14_code_pref.shp,,A35b-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35b.html,,,,,,,CP932,
景観地区・準景観地区（点）,yes,A35b,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_code_pref_GML.zip,A35b-14_code_pref_GML.zip,A35e-14_code_pref.shp,,A35b-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35b.html,,,,,,,CP932,
景観地区・準景観地区（ゾーン）,yes,A35b,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_code_pref_GML.zip,A35b-14_code_pref_GML.zip,A35d-14_code_pref.shp,,A35b-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35b.html,,,,,,,CP932,
景観重要建造物・樹木（ポイント）,,A35c,,,,,,,,,,,,,,,,,
歴史的風土保存区域（ポリゴン）,,A42,,,,,,,,,,,,,,,,,
伝統的建造物群保存地区（ポリゴン）,yes,A43,,,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A43/A43-18/A43-18_GML.zip,A43-18_GML.zip,A43-18_ Preservation_District_of_Historic_Buildings.shp,A43-18_ Preservation_District_of_Historic_Buildings.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A43.html,,,,,A43_003,code_pref_muni,CP932,
歴史的風致維持向上計画の重点地区（ポリゴン） ,,A44,,,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A44/A44-18/A44-18_GML.zip,A44-18_GML.zip,A44-18_ Priority_Area_of_Plan_for_the_Maintenance_and_Improvement_of_Historical_Scenic_Beauty.shp,A44-18_ Priority_Area_of_Plan_for_the_Maintenance_and_Improvement_of_Historical_Scenic_Beauty.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A44.html,,,,,A44_003,code_pref_muni,CP932,
大都市圏・条件不利地域,,,,,,,,,,,,,,,,,,,
三大都市圏計画区域（ポリゴン）,,A03,,,,,,,,,,,,,,,,,
過疎地域（ポリゴン）,,A17,,,,,,,,,,,,,,,,,
振興山村（ポリゴン）,,A24,,,,,,,,,,,,,,,,,
特定農山村地域（ポリゴン）,,A25,,,,,,,,,,,,,,,,,
離島振興対策実施地域（ポリゴン）,,A19,,,,,,,,,,,,,,,,,
離島振興対策実施地域統計情報（ポリゴン）,,A19s,,,,,,,,,,,,,,,,,
小笠原諸島（ポリゴン）,,A21,,,,,,,,,,,,,,,,,
小笠原諸島統計情報（ポリゴン）,,A21s,,,,,,,,,,,,,,,,,
奄美群島（ポリゴン）,,A20,,,,,,,,,,,,,,,,,
奄美群島統計情報（ポリゴン）,,A20s,,,,,,,,,,,,,,,,,
半島振興対策実施地域（ポリゴン）,,A18,,,,,,,,,,,,,,,,,
半島振興対策実施地域統計情報（ポリゴン）,,A18s-a,,,,,,,,,,,,,,,,,
半島循環道路（ポリゴン）（ライン）,,A37,,,,,,,,,,,,,,,,,
豪雪地帯（ポリゴン）,,A22,,,,,,,,,,,,,,,,,
豪雪地帯（気象データ）（ポリゴン）（ポイント）,,A22-m,,,,,,,,,,,,,,,,,
豪雪地帯統計情報（ポリゴン）,,A22s,,,,,,,,,,,,,,,,,
特殊土壌地帯（ポリゴン）,,A23,,,,,,,,,,,,,,,,,
密集市街地（ポリゴン）,,A39,,,,,,,,,,,,,,,,,
災害・防災,,,,,,,,,,,,,,,,,,,
洪水浸水想定区域（1次メッシュ）,,A31,,,,,,,,,,,,,,,,,
避難施設（ポイント）,,P20,,,,,,,,,,,,,,,,,
洪水浸水想定区域（河川単位：ポリゴン）,,A31a,,,,,,,,,,,,,,,,,
平年値（気候）メッシュ,,G02,,,,,,,,,,,,,,,,,
竜巻等の突風（ポイント）,,A30b,,,,,,,,,,,,,,,,,
土砂災害・雪崩メッシュ,,A30a5,,,,,,,,,,,,,,,,,
土砂災害警戒区域（ポリゴン）（ライン）,,A33,,,,,,,,,,,,,,,,,
地すべり防止区域（ポリゴン）,,A46,,,,,,,,,,,,,,,,,
急傾斜地崩壊危険区域（ポリゴン）,,A47,,,,,,,,,,,,,,,,,
津波浸水想定（ポリゴン）,,A40,,,,,,,,,,,,,,,,,
高潮浸水想定区域（ポリゴン）,,A49,,,,,,,,,,,,,,,,,
災害危険区域,yes,A48,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,,,CP932,
3. 地域,,,,,,,,,,,,,,,,,,,
施設,,,,,,,,,,,,,,,,,,,
国・都道府県の機関（ポイント）,,P28,,,,,,,,,,,,,,,,,
市町村役場等及び公的集会施設（ポイント）,,P05,,,,,,,,,,,,,,,,,
市区町村役場（ポイント）,,P34,,,,,,,,,,,,,,,,,
公共施設（ポイント）,,P02,,,,,,,,,,,,,,,,,
警察署（ポリゴン）,maybe,P18,,,,,,,,,,,,,,,,,
警察署（ポイント）,maybe,P18,,,,,,,,,,,,,,,,,
消防署（ポリゴン）,maybe,P17,,,,,,,,,,,,,,,,,
消防署（ポイント）,maybe,P17,,,,,,,,,,,,,,,,,
郵便局（ポイント）,,P30,,,,,,,,,,,,,,,,,
医療機関,yes,P04,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/P04/P04-20/P04-20_code_pref_GML.zip,P04-20_code_pref_GML.zip,P04-20_code_pref.shp,P04-20_code_pref.geojson,P04-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P04-v3_0.html,,,,,,,CP932,
福祉施設,yes,P14,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/P14/P14-21/P14-21_code_pref_GML.zip,P14-21_code_pref_GML.zip,P14-21_code_pref.shp,P14-21_code_pref.geojson,SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P14-v2_1.html,P14_005,01 02 03 04 05 06 99,保護施設 老人福祉施設 障害者支援施設等 身体障害者社会参加支援施設 児童福祉施設等 母子・父子福祉施設 その他の社会福祉施設等,#1B9E77 #D95F02 #7570B3 #E7298A #66A61E #E6AB02 #A6761D,P14_002,name_muni,CP932,
文化施設（ポイント）,,P27,,,,,,,,,,,,,,,,,
学校,maybe,P29,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/P29/P29-21/P29-21_code_pref_GML.zip,P29-21_code_pref_GML.zip,P29-21_code_pref.shp,P29-21_code_pref.geojson,P29-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P29-v3_0.html,,,,,P29_001,code_pref_muni,CP932,
都市公園（ポイント）,,P13,,,,,,,,,,,,,,,,,
上水道関連施設（ポリゴン）（ポイント）,,P21,,,,,,,,,,,,,,,,,
下水道関連施設（ポイント）,,P22,,,,,,,,,,,,,,,,,
廃棄物処理施設（ポイント）,,P15,,,,,,,,,,,,,,,,,
発電施設（ポイント）,,P03,,,,,,,,,,,,,,,,,
燃料給油所（ポイント）,,P07,,,,,,,,,,,,,,,,,
ニュータウン（ポイント）,,P26,,,,,,,,,,,,,,,,,
工業用地（ポリゴン）,,L05,,,,,,,,,,,,,,,,,
研究機関（ポイント）,,P16,,,,,,,,,,,,,,,,,
地場産業関連施設（ポイント）,,P24,,,,,,,,,,,,,,,,,
物流拠点（ポイント）,,P31,,,,,,,,,,,,,,,,,
集客施設（ポイント）,,P33,,,,,,,,,,,,,,,,,
道の駅（ポイント）,,P35,,,,,,,,,,,,,,,,,
地域資源・観光,,,,,,,,,,,,,,,,,,,
都道府県指定文化財（ポイント）,,P32,,,,,,,,,,,,,,,,,
世界文化遺産（ポリゴン）（ライン）（ポイント）,,A34,,,,,,,,,,,,,,,,,
世界自然遺産（ポリゴン）,,A28,,,,,,,,,,,,,,,,,
観光資源（ポリゴン）（ライン）（ポイント）,,P12,,,,,,,,,,,,,,,,,
宿泊容量メッシュ,,P09,,,,,,,,,,,,,,,,,
地域資源（ポイント）,,P19,,,,,,,,,,,,,,,,,
保護保全,,,,,,,,,,,,,,,,,,,
自然公園地域（ポリゴン）,,A10,,,,,,,,,,,,,,,,,
自然保全地域（ポリゴン）,,A11,,,,,,,,,,,,,,,,,
鳥獣保護区（ポリゴン）,,A15,,,,,,,,,,,,,,,,,
4. 交通,,,,,,,,,,,,,,,,,,,
交通,,,,,,,,,,,,,,,,,,,
高速道路時系列（ライン）（ポイント）,,N06,,,,,,,,,,,,,,,,,
緊急輸送道路（ライン）,,N10,,,,,,,,,,,,,,,,,
重要物流道路（ライン）,,N12,,,,,,,,,,,,,,,,,
道路密度・道路延長メッシュ,,N04,,,,,,,,,,,,,,,,,
バス停留所（ポイント）,,P11,,,,,,,,,,,,,,,,,
バスルート（ライン）,,N07,,,,,,,,,,,,,,,,,
鉄道（ライン）,,N02,,,,,,,,,,,,,,,,,
鉄道時系列（ライン）（ポイント）,,N05,,,,,,,,,,,,,,,,,
駅別乗降客数（ライン）,,S12,,,,,,,,,,,,,,,,,
交通流動量 駅別乗降数（ポリゴン）（ポイント）,,S05-c,,,,,,,,,,,,,,,,,
空港（ポリゴン）（ポイント）,,C28,,,,,,,,,,,,,,,,,
空港時系列（ポリゴン）（ポイント）,,N08,,,,,,,,,,,,,,,,,
空港間流通量（ライン）,,S10b,,,,,,,,,,,,,,,,,
ヘリポート（ポイント）,,N11,,,,,,,,,,,,,,,,,
港湾（ライン）（ポイント）,,C02,,,,,,,,,,,,,,,,,
漁港（ライン）（ポイント）,,C09,,,,,,,,,,,,,,,,,
港湾間流通量・海上経路（ライン）,,S10a,,,,,,,,,,,,,,,,,
定期旅客航路（ライン）（ポイント）,,N09,,,,,,,,,,,,,,,,,
パーソントリップ・交通変動量,,,,,,,,,,,,,,,,,,,
発生・集中量（ポリゴン）（ライン）,,S05-a,,,,,,,,,,,,,,,,,
OD量（ポリゴン）（ライン）,,S05-b,,,,,,,,,,,,,,,,,
貨物旅客地域流動量（ポリゴン）（ライン）,,S05-d,,,,,,,,,,,,,,,,,
5. 各種統計,,,,,,,,,,,,,,,,,,,
1kmメッシュ別将来推計人口（H29国政局推計）（shape形式版）,,mesh1000,,,,,,,,,,,,,,,,,
500mメッシュ別将来推計人口（H29国政局推計）（shape形式版）,,mesh500,,,,,,,,,,,,,,,,,
1kmメッシュ別将来推計人口（H30国政局推計）（shape形式版）,,mesh1000h30,,,,,,,,,,,,,,,,,
500mメッシュ別将来推計人口（H30国政局推計）（shape形式版）,,mesh500h30,,,,,,,,,,,,,,,,,
