availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
全国,2025,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-{year2digit}/L02-{year2digit}_GML.zip,L02-{year2digit}_GML.zip,L02-{year2digit}.shp,L02-{year2digit}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-{year4digit}.html,L02_006,,,,L02_020 ,code_pref_muni,CP932,,6668
全国,2024,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-24/L02-24_GML.zip,L02-24_GML.zip,L02-24.shp,L02-24_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2024.html,L02_006,,,,L02_020 ,code_pref_muni,CP932,L02-2024.qml,6668
全国,2023,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-23/L02-23_GML.zip,L02-23_GML.zip,L02-23.shp,L02-23_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2023.html,L02_006,,,,L02_020 ,code_pref_muni,CP932,L02-2023.qml,6668
全国,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-22/L02-22_GML.zip,L02-22_GML.zip,L02-22.shp,L02-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2022.html,L02_006,,,,L02_020 ,code_pref_muni,CP932,,4612
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-21/L02-21_GML.zip,L02-21_GML.zip,L02-21.shp,L02-21_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2021.html,L02_006,,,,L02_020 ,code_pref_muni,CP932,,4612
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-20/L02-20_GML.zip,L02-20_GML.zip,L02-20.shp,L02-20_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2020.html,L02_006,,,,L02_021,code_pref_muni,CP932,,4612
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-19/L02-19_GML.zip,L02-19_GML.zip,L02-19.shp,L02-19_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2019.html,L02_006,,,,L02_021,code_pref_muni,CP932,,4612
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-18/L02-18_GML.zip,L02-18_GML.zip,L02-18.shp,L02-18_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2018.html,L02_006,,,,L02_021,code_pref_muni,CP932,,4612
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-17/L02-17_GML.zip,L02-17_GML.zip,L02-17.shp,L02-17_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2017.html,L02_006,,,,L02_017,code_pref_muni,CP932,,4612
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-16/L02-16_GML.zip,L02-16_GML.zip,L02-16.shp,L02-16_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2016.html,L02_006,,,,L02_017,code_pref_muni,CP932,,4612
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-15/L02-15_GML.zip,L02-15_GML.zip,L02-15.shp,L02-15_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-2016.html,L02_006,,,,L02_017,code_pref_muni,CP932,,4612
