availability,year,url,zip,shp,altdir,qml,epsg
5134,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5134-jgd2011_GML.zip,L03-b-c-21_5134-jgd2011_GML.zip,L03-b-c-21_5134.shp,,L03-b-c-2021.qml,6668
5135,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5135-jgd2011_GML.zip,L03-b-c-21_5135-jgd2011_GML.zip,L03-b-c-21_5135.shp,,L03-b-c-2021.qml,6668
5136,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5136-jgd2011_GML.zip,L03-b-c-21_5136-jgd2011_GML.zip,L03-b-c-21_5136.shp,,L03-b-c-2021.qml,6668
5234,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5234-jgd2011_GML.zip,L03-b-c-21_5234-jgd2011_GML.zip,L03-b-c-21_5234.shp,,L03-b-c-2021.qml,6668
5235,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5235-jgd2011_GML.zip,L03-b-c-21_5235-jgd2011_GML.zip,L03-b-c-21_5235.shp,,L03-b-c-2021.qml,6668
5236,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5236-jgd2011_GML.zip,L03-b-c-21_5236-jgd2011_GML.zip,L03-b-c-21_5236.shp,,L03-b-c-2021.qml,6668
5237,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5237-jgd2011_GML.zip,L03-b-c-21_5237-jgd2011_GML.zip,L03-b-c-21_5237.shp,,L03-b-c-2021.qml,6668
5239,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5239-jgd2011_GML.zip,L03-b-c-21_5239-jgd2011_GML.zip,L03-b-c-21_5239.shp,,L03-b-c-2021.qml,6668
5336,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5336-jgd2011_GML.zip,L03-b-c-21_5336-jgd2011_GML.zip,L03-b-c-21_5336.shp,,L03-b-c-2021.qml,6668
5337,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5337-jgd2011_GML.zip,L03-b-c-21_5337-jgd2011_GML.zip,L03-b-c-21_5337.shp,,L03-b-c-2021.qml,6668
5339,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5339-jgd2011_GML.zip,L03-b-c-21_5339-jgd2011_GML.zip,L03-b-c-21_5339.shp,,L03-b-c-2021.qml,6668
5340,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5340-jgd2011_GML.zip,L03-b-c-21_5340-jgd2011_GML.zip,L03-b-c-21_5340.shp,,L03-b-c-2021.qml,6668
5439,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5439-jgd2011_GML.zip,L03-b-c-21_5439-jgd2011_GML.zip,L03-b-c-21_5439.shp,,L03-b-c-2021.qml,6668
5440,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5440-jgd2011_GML.zip,L03-b-c-21_5440-jgd2011_GML.zip,L03-b-c-21_5440.shp,,L03-b-c-2021.qml,6668
5134,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c-21/L03-b-c-21_5134-jgd2011_GML.zip,L03-b-c-21_5134-jgd2011_GML.zip,L03-b-c-21_5134.shp,,L03-b-c-2021.qml,6668
5135,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5135_GML.zip,L03-b-c_5135_GML.zip,L03-b-c_5135.shp,,L03-b-c-2021.qml,4612
5136,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5136_GML.zip,L03-b-c_5136_GML.zip,L03-b-c_5136.shp,,L03-b-c-2021.qml,4612
5234,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5234_GML.zip,L03-b-c_5234_GML.zip,L03-b-c_5234.shp,,L03-b-c-2021.qml,4612
5235,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5235_GML.zip,L03-b-c_5235_GML.zip,L03-b-c_5235.shp,,L03-b-c-2021.qml,4612
5236,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5236_GML.zip,L03-b-c_5236_GML.zip,L03-b-c_5236.shp,,L03-b-c-2021.qml,4612
5237,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5237_GML.zip,L03-b-c_5237_GML.zip,L03-b-c_5237.shp,,L03-b-c-2021.qml,4612
5239,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5239_GML.zip,L03-b-c_5239_GML.zip,L03-b-c_5239.shp,,L03-b-c-2021.qml,4612
5336,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5336_GML.zip,L03-b-c_5336_GML.zip,L03-b-c_5336.shp,,L03-b-c-2021.qml,4612
5337,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5337_GML.zip,L03-b-c_5337_GML.zip,L03-b-c_5337.shp,,L03-b-c-2021.qml,4612
5339,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5339_GML.zip,L03-b-c_5339_GML.zip,L03-b-c_5339.shp,,L03-b-c-2021.qml,4612
5340,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5340_GML.zip,L03-b-c_5340_GML.zip,L03-b-c_5340.shp,,L03-b-c-2021.qml,4612
5439,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5439_GML.zip,L03-b-c_5439_GML.zip,L03-b-c_5439.shp,,L03-b-c-2021.qml,4612
5440,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-b-c/L03-b-c/L03-b-c_5440_GML.zip,L03-b-c_5440_GML.zip,L03-b-c_5440.shp,,L03-b-c-2021.qml,4612
