availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
全国,2024,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-24/N02-24_GML.zip,N02-24_GML.zip,UTF-8/N02-24_Station.shp,N02-24_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2024.html,,,,,,,UTF-8,,6668,
全国,2023,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-23/N02-23_GML.zip,N02-23_GML.zip,UTF-8/N02-23_Station.shp,N02-23_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2023.html,,,,,,,UTF-8,,6668,
全国,2022,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-22/N02-22_GML.zip,N02-22_GML.zip,UTF-8/N02-22_Station.shp,N02-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2022.html,,,,,,,UTF-8,,6668,
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-21/N02-21_GML.zip,N02-21_GML.zip,UTF-8/N02-21_Station.shp,N02-21_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2021.html,,,,,,,UTF-8,,6668,
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-20/N02-20_GML.zip,N02-20_GML.zip,N02-20_Station.shp,N02-20_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2020.html,,,,,,,CP932,,6668,
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-19/N02-19_GML.zip,N02-19_GML.zip,N02-19_Station.shp,N02-19_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2020.html,,,,,,,CP932,,6668,
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-18/N02-18_GML.zip,N02-18_GML.zip,N02-18_Station.shp,N02-18_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2020.html,,,,,,,CP932,,6668,
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-17/N02-17_GML.zip,N02-17_GML.zip,N02-17_Station.shp,N02-17_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2020.html,,,,,,,CP932,,6668,
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-16/N02-16_GML.zip,N02-16_GML.zip,N02-16_Station.shp,N02-16_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2020.html,,,,,,,CP932,,6668,
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-15/N02-15_GML.zip,N02-15_GML.zip,N02-15_Station.shp,N02-15_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2020.html,,,,,,,CP932,,6668,
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-14/N02-14_GML.zip,N02-14_GML.zip,N02-14_Station.shp,N02-14_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2013,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-13/N02-13.zip,N02-13.zip,N02-13_Station.shp,N02-13,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2012,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-12/N02-12_GML.zip,N02-12_GML.zip,N02-12_Station.shp,N02-12_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2011,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-11/N02-11_GML.zip,N02-11_GML.zip,N02-11_Station.shp,N02-11_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2008,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-08/N02-08_GML.zip,N02-08_GML.zip,N02-08-g_Station.shp,N02-08_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2007,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-07/N02-07_GML.zip,N02-07_GML.zip,N02-07-g_Station.shp,N02-07_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2006,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-06/N02-06_GML.zip,N02-06_GML.zip,N02-06-g_Station.shp,N02-06_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
全国,2005,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-05/N02-05_GML.zip,N02-05_GML.zip,N02-05-g_Station.shp,N02-05_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2014.html,,,,,,,CP932,,4612,
