availability,year,url,zip,shp,altdir,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,encoding
全国,2026,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year4digit}/{code_map}-{year4digit}0101_GML.zip,{code_map}-{year4digit}0101_GML.zip,{code_map}-260101.shp,{code_map}-{year4digit}0101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,UTF-8
全国,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2025/{code_map}-20250101_GML.zip,{code_map}-20250101_GML.zip,{code_map}-250101.shp,{code_map}-20250101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,UTF-8
全国,2024,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2024/{code_map}-20240101_GML.zip,{code_map}-20240101_GML.zip,{code_map}-240101.shp,{code_map}-20240101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,UTF-8
全国,2023,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2023/{code_map}-20230101_GML.zip,{code_map}-20230101_GML.zip,{code_map}-23_230101.shp,{code_map}-20230101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2022,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2022/{code_map}-20220101_GML.zip,{code_map}-20220101_GML.zip ,{code_map}-22_220101.shp,{code_map}-20220101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2021/{code_map}-20210101_GML.zip,{code_map}-20210101_GML.zip ,{code_map}-21_210101.shp,{code_map}-20210101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2020/{code_map}-20200101_GML.zip,{code_map}-20200101_GML.zip ,{code_map}-20_200101.shp,{code_map}-20200101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2019/{code_map}-190101_GML.zip,{code_map}-190101_GML.zip ,{code_map}-19_190101.shp,{code_map}-190101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2018/{code_map}-180101_GML.zip,{code_map}-180101_GML.zip ,{code_map}-18_180101.shp,{code_map}-180101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2017/{code_map}-170101_GML.zip,{code_map}-170101_GML.zip ,{code_map}-17_170101.shp,{code_map}-170101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2016/{code_map}-160101_GML.zip,{code_map}-160101_GML.zip ,{code_map}-16_160101.shp,{code_map}-160101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,6668,CP932
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2015/{code_map}-150101_GML.zip,{code_map}-150101_GML.zip ,{code_map}-15_150101.shp,{code_map}-150101_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,4612,CP932
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-2014/{code_map}-140101_GML.zip,{code_map}-140401_GML.zip ,{code_map}-14_140401.shp,{code_map}-140401_GML,,,,,{code_map}_007,code_pref_muni,,{code_map}-2024.qml,4612,CP932
