availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
全国,2024,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-24/N06-24_GML.zip,N06-24_GML.zip,UTF-8/N06-24_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2024.html,,,,,,,UTF-8,,6668,
全国,2023,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-23/N06-23_GML.zip,N06-23_GML.zip,UTF-8/N06-23_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2023.html,,,,,,,UTF-8,N06_Joint-2023.qml,6668,
全国,2022,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-22/N06-22_GML.zip,N06-22_GML.zip,N06-22/N06-22_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2022.html,,,,,,,CP932,,6668,
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-21/N06-21_GML.zip,N06-21_GML.zip,N06-21/N06-21_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2022.html,,,,,,,CP932,,6668,
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-20/N06-20_GML.zip,N06-20_GML.zip,N06-20/N06-20_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2020.html,,,,,,,CP932,,6668,
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-19/N06-19_GML.zip,N06-19_GML.zip,N06-19_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2020.html,,,,,,,CP932,,6668,
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-18/N06-18_GML.zip,N06-18_GML.zip,N06-18_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2020.html,,,,,,,CP932,,6668,
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-17/N06-17_GML.zip,N06-17_GML.zip,N06-17/N06-17_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2020.html,,,,,,,CP932,,6668,
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-16/N06-16_GML.zip,N06-16_GML.zip,N06-16_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2020.html,,,,,,,CP932,,6668,
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-15/N06-15_GML.zip,N06-15_GML.zip,N06-15_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2020.html,,,,,,,CP932,,6668,
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-14/N06-14_GML.zip,N06-14_GML.zip,N06-14/N06-14_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2014.html,,,,,,,CP932,,4612,
全国,2013,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-13/N06-13.zip,N06-13.zip,N06-13/N06-13_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2014.html,,,,,,,CP932,,4612,
全国,2012,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-12/N06-12_GML.zip,N06-12_GML.zip,N06-12_GML/N06-12_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2014.html,,,,,,,CP932,,4612,
全国,2011,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-11/N06-11_GML.zip,N06-11_GML.zip,N06-11_GML/N06-11_Joint.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2014.html,,,,,,,CP932,,4612,
