availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-21/N08-21_GML.zip,N08-21_GML.zip,UTF-8/N08-21_Airport.shp,UTF-8/N08-21_Airport.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2021.html,,,,,,,UTF-8,N08-2021.qml,6668,
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-20/N08-20_GML.zip,N08-20_GML.zip,N08-20_GML/N08-20_Airport.shp,N08-20_GML/N08-20_Airport.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2020.html,,,,,,,CP932,N08-2021.qml,6668,
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-19/N08-19_GML.zip,N08-19_GML.zip,N08-19_Airport.shp,N08-19_Airport.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2020.html,,,,,,,CP932,N08-2021.qml,6668,
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-18/N08-18_GML.zip,N08-18_GML.zip,N08-18_Airport.shp,N08-18_Airport.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2020.html,,,,,,,CP932,N08-2021.qml,6668,
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-17/N08-17_GML.zip,N08-17_GML.zip,N08-17_GML/N08-17_Airport.shp,N08-17_GML/N08-17_Airport.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2020.html,,,,,,,CP932,N08-2021.qml,6668,
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-16/N08-16_GML.zip,N08-16_GML.zip,N08-16_Airport.shp,N08-16_Airport.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2020.html,,,,,,,CP932,N08-2021.qml,6668,
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-15/N08-15_GML.zip,N08-15_GML.zip,N08-15_Airport.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2020.html,,,,,,,CP932,N08-2021.qml,6668,
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-14/N08-14_GML.zip,N08-14_GML.zip,N08-14_GML/N08-14_Airport.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2014.html,,,,,,,CP932,N08-2021.qml,4612,
全国,2013,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-13/N08-13.zip,N08-13.zip,N08-13/N08-13_Airport.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2014.html,,,,,,,CP932,N08-2021.qml,4612,
全国,2012,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-12/N08-12_GML.zip,N08-12_GML.zip,N08-12_Airport.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2014.html,,,,,,,CP932,N08-2021.qml,4612,
全国,2011,https://nlftp.mlit.go.jp/ksj/gml/data/N08/N08-11/N08-11_GML.zip,N08-11_GML.zip,N08-11_Airport.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-2014.html,,,,,,,CP932,N08-2021.qml,4612,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
