availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
関東圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_SYUTO_GML.zip,{code_map}-{year2digit}_SYUTO_GML.zip,{code_map}-{year2digit}_SYUTO-1-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,1,
関東圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_SYUTO_GML.zip,{code_map}-{year2digit}_SYUTO_GML.zip,{code_map}-{year2digit}_SYUTO-2-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,2,
関東圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_SYUTO_GML.zip,{code_map}-{year2digit}_SYUTO_GML.zip,{code_map}-{year2digit}_SYUTO-3-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,3,
中部圏,2013,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU-1-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,1,
中部圏,2013,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU-2-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,2,
中部圏,2013,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU-3-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,3,
中部圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU-1-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,1,
中部圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU-2-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,2,
中部圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU_GML.zip,{code_map}-{year2digit}_CHUBU-3-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,3,
近畿圏,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI-1-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,1,
近畿圏,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI-2-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,2,
近畿圏,2012,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI-3-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,3,
近畿圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI-1-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,1,
近畿圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI-2-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,2,
近畿圏,2010,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI_GML.zip,{code_map}-{year2digit}_KINKI-3-g_PersonTripODAmount.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b.html,,,,,,,CP932,,4612,,3,
