availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-18/S05-d-18_GML.zip,S05-d-18_GML.zip,S05-d-18_GML/S05-d-18-g_PassengerRegionFlow.shp,S05-d-18_GML/S05-d-18-g_PassengerRegionFlow.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-17/S05-d-17_GML.zip,S05-d-17_GML.zip,S05-d-17_GML/S05-d-17-g_PassengerRegionFlow.shp,S05-d-17_GML/S05-d-17-g_PassengerRegionFlow.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2016,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-16/S05-d-16_GML.zip,S05-d-16_GML.zip,S05-d-16-g_PassengerRegionFlow.shp,S05-d-16-g_PassengerRegionFlow.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2015,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-15/S05-d-15_GML.zip,S05-d-15_GML.zip,S05-d-15_GML/S05-d-15-g_PassengerRegionFlow.shp,S05-d-15_GML/S05-d-15-g_PassengerRegionFlow.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2014,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-14/S05-d-14_GML.zip,S05-d-14_GML.zip,S05-d-14-g_PassengerRegionFlow.shp,S05-d-14-g_PassengerRegionFlow.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2013,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-13/S05-d-13_GML.zip,S05-d-13_GML.zip,S05-d-13-g_PassengerRegionFlow.shp,S05-d-13-g_PassengerRegionFlow.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2012,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-12/S05-d-12_GML.zip,S05-d-12_GML.zip,S05-d-12_GML/S05-d-12-g_PassengerRegionFlow.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2011,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-11/S05-d-11-g.zip,S05-d-11-g.zip,N05-d-11-g/S05-d-11-g_PassengerRegionFlow.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2010,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-10/S05-d-10_GML.zip,S05-d-10_GML.zip,S05-d-10-g_PassengerRegionFlow.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
全国,2009,https://nlftp.mlit.go.jp/ksj/gml/data/S05-d/S05-d-09/S05-d-09_GML.zip,S05-d-09_GML.zip,S05-d-09-g_PassengerRegionFlow.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-2018.html,,,,,,,CP932,,6668,
