name_j,code_map,name_e,year,url,zip,shp,altdir,qml
訪問介護,LTCI_110,Home-Visit Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_110.csv,jigyosho_110.csv,jigyosho_110.csv,,
訪問入浴介護,LTCI_120,Home-Visit Bathing Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_120.csv,jigyosho_120.csv,jigyosho_120.csv,,
訪問看護,LTCI_130,Home-Visit Nursing,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,jigyosho_130.csv,jigyosho_130.csv,,
訪問リハビリテーション,LTCI_140,Home-Visit Rehabilitation,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_140.csv,jigyosho_140.csv,jigyosho_140.csv,,
通所介護,LTCI_150,Day Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_150.csv,jigyosho_150.csv,jigyosho_150.csv,,
通所介護（療養通所介護）,LTCI_155,Medical Day Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_155.csv,jigyosho_155.csv,jigyosho_155.csv,,
通所リハビリテーション,LTCI_160,Day Rehabilitation,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_160.csv,jigyosho_160.csv,jigyosho_160.csv,,
福祉用具貸与,LTCI_170,Welfare Equipment Rental,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_170.csv,jigyosho_170.csv,jigyosho_170.csv,,
短期入所生活介護,LTCI_210,Short-Stay Residential Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_210.csv,jigyosho_210.csv,jigyosho_210.csv,,
短期入所療養介護（介護老人保健施設）,LTCI_220,Short-Stay Medical Care (Geriatric Health Services Facility),2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_220.csv,jigyosho_220.csv,jigyosho_220.csv,,
短期入所療養介護（療養病床を有する病院等）,LTCI_230,Short-Stay Medical Care (Hospital with Long-Term Care Beds),2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_230.csv,jigyosho_230.csv,jigyosho_230.csv,,
短期入所療養介護（介護医療院）,LTCI_551,Short-Stay Medical Care (Integrated Facility for Medical and Long-Term Care),2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_551.csv,jigyosho_551.csv,jigyosho_551.csv,,
認知症対応型共同生活介護,LTCI_320,Group Home for Persons with Dementia,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_320.csv,jigyosho_320.csv,jigyosho_320.csv,,
特定施設入居者生活介護（有料老人ホーム）,LTCI_331,Residential Care in Fee-Based Nursing Home,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_331.csv,jigyosho_331.csv,jigyosho_331.csv,,
特定施設入居者生活介護（軽費老人ホーム）,LTCI_332,Residential Care in Low-Cost Elderly Home,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_332.csv,jigyosho_332.csv,jigyosho_332.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅）,LTCI_334,Residential Care in Service-Integrated Housing for Older Persons,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_334.csv,jigyosho_334.csv,jigyosho_334.csv,,
特定施設入居者生活介護（有料老人ホーム・外部サービス利用型）,LTCI_335,Residential Care in Fee-Based Nursing Home (External Service Type),2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_335.csv,jigyosho_335.csv,jigyosho_335.csv,,
特定施設入居者生活介護（軽費老人ホーム・外部サービス利用型）,LTCI_336,Residential Care in Low-Cost Elderly Home (External Service Type),2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_336.csv,jigyosho_336.csv,jigyosho_336.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅・外部サービス利用型）,LTCI_337,Residential Care in Service-Integrated Housing for Older Persons (External Service Type),2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_337.csv,jigyosho_337.csv,jigyosho_337.csv,,
