code_pref,code_muni,name_muni_j,code_mesh1,name_muni_e
1,100,札幌市,6440,Sapporo
1,100,札幌市,6441,Sapporo
1,101,札幌市中央区,6441,"Chuo, Sapporo"
1,102,札幌市北区,6441,"Kita, Sapporo"
1,103,札幌市東区,6441,"Higashi, Sapporo"
1,104,札幌市白石区,6441,"Shiroishi, Sapporo"
1,105,札幌市豊平区,6441,"Toyohira, Sapporo"
1,106,札幌市南区,6440,"Minami, Sapporo"
1,106,札幌市南区,6441,"Minami, Sapporo"
1,107,札幌市西区,6441,"Nishi, Sapporo"
1,108,札幌市厚別区,6441,"Ashibetsu, Sapporo"
1,109,札幌市手稲区,6441,"Teine, Sapporo"
1,110,札幌市清田区,6441,"Kiyota, Sapporo"
1,202,函館市,6240,Hakodate
1,202,函館市,6241,Hakodate
1,202,函館市,6340,Hakodate
1,203,小樽市,6440,Otaru
1,203,小樽市,6441,Otaru
1,204,旭川市,6542,Asahikawa
1,205,室蘭市,6340,Muroran
1,205,室蘭市,6341,Muroran
1,206,釧路市,6443,Kushiro
1,206,釧路市,6444,Kushiro
1,206,釧路市,6543,Kushiro
1,206,釧路市,6544,Kushiro
1,207,帯広市,6342,Obihiro
1,207,帯広市,6343,Obihiro
1,207,帯広市,6442,Obihiro
1,207,帯広市,6443,Obihiro
1,208,北見市,6543,Kitami
1,208,北見市,6544,Kitami
1,208,北見市,6643,Kitami
1,208,北見市,6644,Kitami
1,209,夕張市,6441,Yubari
1,209,夕張市,6442,Yubari
1,210,岩見沢市,6441,Iwamizawa
1,210,岩見沢市,6442,Iwamizawa
1,210,岩見沢市,6541,Iwamizawa
1,211,網走市,6544,Abashiri
1,211,網走市,6644,Abashiri
1,212,留萌市,6541,Rumoi
1,213,苫小牧市,6341,Tomakomai
1,213,苫小牧市,6441,Tomakomai
1,214,稚内市,6741,Wakkanai
1,214,稚内市,6742,Wakkanai
1,214,稚内市,6841,Wakkanai
1,214,稚内市,6842,Wakkanai
1,215,美唄市,6441,Bibai
1,215,美唄市,6442,Bibai
1,215,美唄市,6541,Bibai
1,215,美唄市,6542,Bibai
1,216,芦別市,6442,Ashibetsu
1,216,芦別市,6542,Ashibetsu
1,217,江別市,6441,Ebetsu
1,218,赤平市,6541,Akabira
1,218,赤平市,6542,Akabira
1,219,紋別市,6543,Monbetsu
1,219,紋別市,6643,Monbetsu
1,220,士別市,6542,Shibetsu
1,220,士別市,6642,Shibetsu
1,221,名寄市,6642,Nayoro
1,222,三笠市,6441,Mikasa
1,222,三笠市,6442,Mikasa
1,222,三笠市,6542,Mikasa
1,223,根室市,6445,Nemuro
1,223,根室市,6545,Nemuro
1,223,根室市,6546,Nemuro
1,224,千歳市,6441,Chitose
1,225,滝川市,6541,Takikawa
1,225,滝川市,6542,Takikawa
1,226,砂川市,6541,Sunagawa
1,227,歌志内市,6541,Utashinai
1,227,歌志内市,6542,Utashinai
1,228,深川市,6541,Fukagawa
1,228,深川市,6542,Fukagawa
1,228,深川市,6642,Fukagawa
1,229,富良野市,6442,Furano
1,229,富良野市,6542,Furano
1,230,登別市,6340,Noboribetsu
1,230,登別市,6341,Noboribetsu
1,231,恵庭市,6441,Eniwa
1,233,伊達市,6340,Date
1,233,伊達市,6341,Date
1,233,伊達市,6440,Date
1,233,伊達市,6441,Date
1,234,北広島市,6441,Kitahiroshima
1,235,石狩市,6441,Ishikari
1,235,石狩市,6541,Ishikari
1,236,北斗市,6240,Hokuto
1,303,当別町,6441,Tobetsu
1,303,当別町,6541,Tobetsu
1,304,新篠津村,6441,Shinshinotsu
1,331,松前町,6239,Matsumae
1,331,松前町,6240,Matsumae
1,332,福島町,6240,Fukushima
1,333,知内町,6240,Shiriuchi
1,334,木古内町,6240,Kikonai
1,337,七飯町,6240,Nanae
1,337,七飯町,6340,Nanae
1,343,鹿部町,6240,Shikabe
1,343,鹿部町,6340,Shikabe
1,345,森町,6240,Morimachi
1,345,森町,6340,Morimachi
1,346,八雲町,6339,Yakumo
1,346,八雲町,6340,Yakumo
1,347,長万部町,6340,Oshamambe
1,361,江差町,6240,Esashi
1,362,上ノ国町,6239,Kaminokuni
1,362,上ノ国町,6240,Kaminokuni
1,363,厚沢部町,6240,Assabu
1,363,厚沢部町,6340,Assabu
1,364,乙部町,6240,Otobe
1,364,乙部町,6340,Otobe
1,367,奥尻町,6339,Okushiri
